2026-08-22 17:12:52,070 | INFO | __main__ | Fetched structures: 8900 / 14776
2026-08-22 17:13:31,123 | INFO | __main__ | Fetched structures: 9000 / 14776
2026-08-22 17:14:09,569 | INFO | __main__ | Fetched structures: 9100 / 14776
2026-08-22 17:14:48,783 | INFO | __main__ | Fetched structures: 9200 / 14776
2026-08-22 17:15:27,782 | INFO | __main__ | Fetched structures: 9300 / 14776
2026-08-22 17:16:15,181 | INFO | __main__ | Fetched structures: 9400 / 14776
2026-08-22 17:17:16,211 | INFO | __main__ | Fetched structures: 9500 / 14776
2026-08-22 17:18:23,700 | INFO | __main__ | Fetched structures: 9600 / 14776
2026-08-22 17:19:24,710 | INFO | __main__ | Fetched structures: 9700 / 14776
2026-08-22 17:20:26,454 | INFO | __main__ | Fetched structures: 9800 / 14776
2026-08-22 17:21:27,698 | INFO | __main__ | Fetched structures: 9900 / 14776
2026-08-22 17:22:33,108 | INFO | __main__ | Fetched structures: 10000 / 14776
2026-08-22 17:23:35,224 | WARNING | urllib3.connectionpool | Retrying (Retry(total=4, connect=5, read=4, redirect=None, status=5)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /chembl/api/data/molecule/CHEMBL4796150.json
2026-08-22 17:24:22,783 | INFO | __main__ | Fetched structures: 10100 / 14776
2026-08-22 17:25:02,138 | INFO | __main__ | Fetched structures: 10200 / 14776
2026-08-22 17:25:40,292 | INFO | __main__ | Fetched structures: 10300 / 14776
2026-08-22 17:26:21,760 | INFO | __main__ | Fetched structures: 10400 / 14776
2026-08-22 17:45:18,783 | INFO | __main__ | Fetched structures: 100 / 14776
2026-08-22 17:46:00,899 | INFO | __main__ | Fetched structures: 200 / 14776
2026-08-22 17:46:41,373 | INFO | __main__ | Fetched structures: 300 / 14776
2026-08-22 17:47:19,676 | INFO | __main__ | Fetched structures: 400 / 14776
2026-08-22 17:47:58,391 | INFO | __main__ | Fetched structures: 500 / 14776
2026-08-22 17:48:36,465 | INFO | __main__ | Fetched structures: 600 / 14776
2026-08-22 17:49:14,482 | INFO | __main__ | Fetched structures: 700 / 14776
2026-08-22 17:49:52,254 | INFO | __main__ | Fetched structures: 800 / 14776
2026-08-22 17:50:30,761 | INFO | __main__ | Fetched structures: 900 / 14776
2026-08-22 17:51:12,849 | INFO | __main__ | Fetched structures: 1000 / 14776
2026-08-22 17:51:53,743 | INFO | __main__ | Fetched structures: 1100 / 14776
2026-08-22 17:52:45,366 | INFO | __main__ | Fetched structures: 1200 / 14776
2026-08-22 17:53:28,855 | INFO | __main__ | Fetched structures: 1300 / 14776
2026-08-22 17:54:06,607 | INFO | __main__ | Fetched structures: 1400 / 14776
2026-08-22 17:54:45,400 | INFO | __main__ | Fetched structures: 1500 / 14776
2026-08-22 17:55:25,258 | INFO | __main__ | Fetched structures: 1600 / 14776
2026-08-22 17:56:06,207 | INFO | __main__ | Fetched structures: 1700 / 14776
2026-08-22 17:56:47,342 | INFO | __main__ | Fetched structures: 1800 / 14776
2026-08-22 17:57:44,709 | INFO | __main__ | Fetched structures: 1900 / 14776
2026-08-22 17:58:58,733 | INFO | __main__ | Fetched structures: 2000 / 14776
2026-08-22 18:00:09,586 | INFO | __main__ | Fetched structures: 2100 / 14776
2026-08-22 18:01:24,172 | INFO | __main__ | Fetched structures: 2200 / 14776
2026-08-22 18:02:32,401 | INFO | __main__ | Fetched structures: 2300 / 14776
2026-08-22 18:03:33,921 | INFO | __main__ | Fetched structures: 2400 / 14776
2026-08-22 18:04:44,565 | INFO | __main__ | Fetched structures: 2500 / 14776
2026-08-22 18:05:55,375 | INFO | __main__ | Fetched structures: 2600 / 14776
2026-08-22 18:07:00,848 | INFO | __main__ | Fetched structures: 2700 / 14776
2026-08-22 18:08:09,289 | INFO | __main__ | Fetched structures: 2800 / 14776
2026-08-22 18:09:16,848 | INFO | __main__ | Fetched structures: 2900 / 14776
2026-08-22 18:10:23,248 | INFO | __main__ | Fetched structures: 3000 / 14776
