2026-08-22 05:55:03,375 | INFO | __main__ | Fetching ChEMBL activity data: offset=10500 limit=100
2026-08-22 05:55:03,969 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:55:03,971 | INFO | __main__ | Collected 10600 records / 26600
2026-08-22 05:55:04,171 | INFO | __main__ | Fetching ChEMBL activity data: offset=10600 limit=100
2026-08-22 05:55:04,913 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:55:04,915 | INFO | __main__ | Collected 10700 records / 26600
2026-08-22 05:55:05,115 | INFO | __main__ | Fetching ChEMBL activity data: offset=10700 limit=100
2026-08-22 05:55:05,774 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:55:05,775 | INFO | __main__ | Collected 10800 records / 26600
2026-08-22 05:55:05,976 | INFO | __main__ | Fetching ChEMBL activity data: offset=10800 limit=100
2026-08-22 05:55:06,803 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:55:06,803 | INFO | __main__ | Collected 10900 records / 26600
2026-08-22 05:55:07,004 | INFO | __main__ | Fetching ChEMBL activity data: offset=10900 limit=100
2026-08-22 05:55:08,288 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:55:08,290 | INFO | __main__ | Collected 11000 records / 26600
2026-08-22 05:55:08,490 | INFO | __main__ | Fetching ChEMBL activity data: offset=11000 limit=100
2026-08-22 05:55:09,211 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:55:09,211 | INFO | __main__ | Collected 11100 records / 26600
2026-08-22 05:55:09,412 | INFO | __main__ | Fetching ChEMBL activity data: offset=11100 limit=100
2026-08-22 05:55:10,177 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:55:10,179 | INFO | __main__ | Collected 11200 records / 26600
